student_id,weekly_self_study_hours,attendance_percentage,class_participation,total_score,grade
181,19.4,94.8,7.4,100,A
182,9,97.2,4.7,84.7,B
183,7.5,85.6,8.2,80.1,B
184,18.4,100,9.4,100,A
185,13.4,100,6.4,75.9,B
186,20,84.5,3.8,100,A
187,18.3,89.6,6.7,96.5,A
188,14.5,81.9,1.8,97.2,A
189,9.1,85.6,5.6,58.2,C
190,4.4,86.9,6.1,52.2,D
191,11.9,92.4,9.6,70.1,B
192,21,79.3,6.2,100,A
193,16.5,100,6.9,89,A
194,6.3,75.7,4.1,44.1,D
195,16.2,81.8,4.7,80.5,B
196,17.7,89,4.9,92.5,A
197,8.8,93.2,4.6,65.4,C
198,16.1,82.7,6.2,93.9,A
199,15.4,68.2,9.3,99.8,A
200,7,78.7,5.2,53.2,D
